지점,지점명,일시,평균기온(°C),평균최고기온(°C),최고기온(°C),평균최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온(°C),최저기온 나타난날(yyyymmdd),평균 풍속(m/s),최대 순간 풍속(m/s),최대 순간 풍속 풍향(deg),최대 순간 풍속 나타난날(yyyymmdd),강수량합(mm)
406,도봉구,2020,12.8,18.4,34.9,8.2,20200622,-13.7,20201231,1.2,15.8,230.6,20200319,1857
407,노원구,2015,12.3,18.6,34.9,6.1,20150807,-16,20150209,1.3,14.3,292.5,20150309,881
407,노원구,2016,12.5,18.5,35.9,6.4,20160811,-18,20160125,1.2,17.1,298.1,20160504,989
407,노원구,2017,11.7,17.8,35,5.4,20170805,-17.9,20170123,1.2,15,,20170426,1190
407,노원구,2018,11.7,17.8,39.7,5.6,20180801,-20.7,20180127,1.2,15.5,146.3,20180630,1409
407,노원구,2019,12.3,18.6,35.7,5.9,20190805,-14.4,20190109,1.1,19.7,81.6,20190907,992.5
407,노원구,2020,12.2,18.2,36.4,6.4,20200622,-15.8,20201231,1.2,13.6,92.8,20200827,1684.5
407,화랑로,2015,12.3,18.6,34.9,6.1,20150807,-16,20150209,1.3,14.3,292.5,20150309,881
407,화랑로,2016,12.5,18.5,35.9,6.4,20160811,-18,20160125,1.2,17.1,298.1,20160504,989
407,화랑로,2017,11.7,17.8,35,5.4,20170805,-17.9,20170123,1.2,15,,20170426,1190
407,화랑로,2018,11.7,17.8,39.7,5.6,20180801,-20.7,20180127,1.2,15.5,146.3,20180630,1409
407,화랑로,2019,12.3,18.6,35.7,5.9,20190805,-14.4,20190109,1.1,19.7,81.6,20190907,992.5
407,화랑로,2020,12.2,18.2,36.4,6.4,20200622,-15.8,20201231,1.2,13.6,92.8,20200827,1684.5
408,동대문구,2015,13.9,18.6,35.6,9.9,20150711,-11,20150208,1.8,18.2,253.1,20150402,762
408,동대문구,2016,14.2,18.8,37,10.3,20160811,-16.3,20160124,1.8,18.5,267.2,20160504,991
408,동대문구,2017,13.5,18.2,35.9,9.6,20170805,-10.7,20171212,1.7,18.3,236.3,20170513,1237.5
408,동대문구,2018,13.5,18.1,40.3,9.6,20180801,-16.7,20180126,1.8,20.8,261.6,20180410,1328
408,동대문구,2019,14.2,18.9,36.1,10.2,20190806,-9.4,20191231,1.7,24.2,247.5,20190907,935.5
408,동대문구,2020,13.9,18.6,36.2,10.1,20200622,-11.9,20201230,1.7,19.7,39.4,20200903,1565
408,홍릉로,2015,13.9,18.6,35.6,9.9,20150711,-11,20150208,1.8,18.2,253.1,20150402,762
408,홍릉로,2016,14.2,18.8,37,10.3,20160811,-16.3,20160124,1.8,18.5,267.2,20160504,991
408,홍릉로,2017,13.5,18.2,35.9,9.6,20170805,-10.7,20171212,1.7,18.3,236.3,20170513,1237.5
408,홍릉로,2018,13.5,18.1,40.3,9.6,20180801,-16.7,20180126,1.8,20.8,261.6,20180410,1328
408,홍릉로,2019,14.2,18.9,36.1,10.2,20190806,-9.4,20191231,1.7,24.2,247.5,20190907,935.5
408,홍릉로,2020,13.9,18.6,36.2,10.1,20200622,-11.9,20201230,1.7,19.7,39.4,20200903,1565
409,중랑구,2015,14.2,18.7,35.6,10.2,20150807,-11.1,20150208,2,18,292.5,20150311,883
409,중랑구,2016,14.3,18.8,37.4,10.5,20160805,-16.5,20160124,2,18.4,241.9,20160504,1009
409,중랑구,2017,13.6,18.1,36.4,9.6,20170805,-11.4,20171212,2,19.3,149.1,20170626,1292
409,중랑구,2018,13.6,18.1,40.2,9.6,20180801,-17,20180126,2.1,23.2,208.1,20180410,1305
409,중랑구,2019,14.2,18.8,37,10.2,20190805,-9.7,20191231,1.9,27.6,177.2,20190907,1055
409,중랑구,2020,14,18.4,36.1,10.3,20200825,-11.9,20201231,2,18,244.7,20200319,1362.5
410,구로구,2015,14.2,18.9,35.1,10.3,20150711,-10.6,20150209,1.6,15.3,264.4,20150402,740
410,구로구,2016,14.2,18.9,36.2,10.3,20160805,-16.4,20160124,1.5,15.5,247.5,20160504,896.5
410,구로구,2017,13.6,18.2,36.2,9.6,20170805,-10.5,20171212,1.5,13.5,210.9,20170824,1035
410,구로구,2018,13.1,17.8,39.5,9.2,20180801,-16.7,20180126,1.5,17.4,205.3,20180410,1149.5
410,구로구,2019,13.5,18.3,37.5,9.3,20190806,-11.7,20191231,1.4,26.2,174.5,20190907,1027
410,구로구,2020,13.4,18.1,36.5,9.4,20200622,-13,20201230,1.4,17.4,152,20200827,1499.5
410,관악구,2015,14.2,18.9,35.1,10.3,20150711,-10.6,20150209,1.6,15.3,264.4,20150402,740
410,관악구,2016,14.2,18.9,36.2,10.3,20160805,-16.4,20160124,1.5,15.5,247.5,20160504,896.5
410,관악구,2017,13.6,18.2,36.2,9.6,20170805,-10.5,20171212,1.5,13.5,210.9,20170824,1035
410,관악구,2018,13.1,17.8,39.5,9.2,20180801,-16.7,20180126,1.5,17.4,205.3,20180410,1149.5
410,관악구,2019,13.5,18.3,37.5,9.3,20190806,-11.7,20191231,1.4,26.2,174.5,20190907,1027
410,관악구,2020,13.4,18.1,36.5,9.4,20200622,-13,20201230,1.4,17.4,152,20200827,1499.5
411,마포구,2015,13.9,19.1,37,9.9,20150711,-12.3,20150209,2.5,16.2,303.8,20150310,665.5
411,마포구,2016,14,19.1,36.3,10.1,20160821,-17.5,20160124,2.6,20.5,298.1,20160408,948.5
411,마포구,2017,13.2,18.2,36.4,9.3,20170805,-12.4,20171212,2.6,28.1,,20170316,1057.5
411,마포구,2018,13.1,18.1,39,9.3,20180815,-18,20180126,2.5,19,185.6,20180410,1149.5
411,마포구,2019,13.9,19,37.7,9.9,20190806,-10.7,20191231,2.4,30.1,171.6,20190907,811.5
411,마포구,2020,13.6,18.5,36.6,9.8,20200622,-12.9,20201230,2.6,17.6,261.6,20200108,1256
411,신촌로,2015,13.9,19.1,37,9.9,20150711,-12.3,20150209,2.5,16.2,303.8,20150310,665.5
411,신촌로,2016,14,19.1,36.3,10.1,20160821,-17.5,20160124,2.6,20.5,298.1,20160408,948.5
411,신촌로,2017,13.2,18.2,36.4,9.3,20170805,-12.4,20171212,2.6,28.1,,20170316,1057.5
411,신촌로,2018,13.1,18.1,39,9.3,20180815,-18,20180126,2.5,19,185.6,20180410,1149.5
411,신촌로,2019,13.9,19,37.7,9.9,20190806,-10.7,20191231,2.4,30.1,171.6,20190907,811.5
411,신촌로,2020,13.6,18.5,36.6,9.8,20200622,-12.9,20201230,2.6,17.6,261.6,20200108,1256
412,서대문구,2015,13.1,18.4,34.7,8.8,20150807,-13.6,20150209,1.3,10.8,284.1,20150322,741
412,서대문구,2016,13.4,18.7,36,9.1,20160804,-17.5,20160124,1.3,12.7,258.8,20160504,997
412,서대문구,2017,12.6,18,36.1,8.2,20170805,-13.1,20170123,1.3,10.6,309.4,20170401,1134.5
412,서대문구,2018,12.5,18,39.4,8.2,20180801,-18.1,20180126,1.4,13,219.4,20180410,1207
412,서대문구,2019,13.2,18.9,36.7,8.8,20190806,-11.2,20191206,1.3,15,163.1,20190907,864
412,서대문구,2020,12.9,18.2,36.4,8.6,20200622,-13.4,20201231,1.3,15.1,129.3,20201103,1603.5
413,광진구,2015,14.3,18.9,36,10.4,20150807,-10.4,20150208,1.7,14.8,323.4,20150310,832
413,광진구,2016,13.9,18.5,36.1,9.9,20160811,-21.7,20160124,1.6,17.2,233.4,20160504,1011
413,광진구,2017,13.3,18,36.9,9.2,20170805,-10.8,20171214,1.6,11.6,239.1,20170506,1011.5
413,광진구,2018,13.2,17.9,40.7,9.1,20180801,-16.7,20180126,1.6,11.9,244.7,20180406,1124.5
413,광진구,2019,13.9,18.7,37,9.5,20190810,-9.5,20191231,1.5,14,104.1,20190907,1070
413,광진구,2020,13.6,18.3,36.3,9.6,20200622,-11.9,20201230,1.5,12,258.8,20200319,1383.5
414,성북구,2015,13.7,18.3,35.9,9.6,20150807,-12.1,20150209,1.6,17.2,202.5,20150512,809
414,성북구,2016,13.4,17.9,35.8,9.3,20160812,-17.7,20160124,1.5,21.4,219.4,20160503,1120.5
414,성북구,2017,12.7,17.3,35.3,8.6,20170805,-12.5,20171212,1.6,18.1,225,20170824,1256.5
414,성북구,2018,12.6,17.3,38.9,8.6,20180801,-18.1,20180126,1.6,21.5,210.9,20180410,1461.5
414,성북구,2019,13.3,18.1,36.6,9,20190806,-11.7,20191231,1.5,25,188.4,20190907,928.5
414,성북구,2020,12,16.2,32.6,8.1,20200622,-13.9,20201231,1.6,21.3,329.1,20200903,1762.5
414,정릉로,2015,13.7,18.3,35.9,9.6,20150807,-12.1,20150209,1.6,17.2,202.5,20150512,809
414,정릉로,2016,13.4,17.9,35.8,9.3,20160812,-17.7,20160124,1.5,21.4,219.4,20160503,1120.5
