지점,지점명,일시,평균기온(°C),평균최고기온(°C),최고기온(°C),평균최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온(°C),최저기온 나타난날(yyyymmdd),평균 풍속(m/s),최대 순간 풍속(m/s),최대 순간 풍속 풍향(deg),최대 순간 풍속 나타난날(yyyymmdd),강수량합(mm)
510,영등포구,2020,14.2,18.6,36.3,10.8,20200825,-11.7,20201230,1,9.6,196.9,20200629,1437
510,영등포로,2015,14.5,18.9,35.9,11,20150807,-10.6,20150208,1.5,10.8,160.3,20150402,804.5
510,영등포로,2016,14.7,19.1,37.2,11.2,20160805,-16,20160124,1.3,10.6,174.4,20160418,883.5
510,영등포로,2017,14,18.5,36.2,10.5,20170805,-10.6,20171212,1.2,11.3,137.8,20170824,1084.5
510,영등포로,2018,14,18.4,39.7,10.4,20180815,-16.4,20180126,1.1,11,182.8,20180410,1190
510,영등포로,2019,14.6,19.1,38.2,11,20190810,-9.6,20191231,1,12.7,292.5,20190907,934.5
510,영등포로,2020,14.2,18.6,36.3,10.8,20200825,-11.7,20201230,1,9.6,196.9,20200629,1437
889,동작대로,2015,13.3,19.2,35.7,8.1,20150807,-12.4,20150209,1.1,11.1,208.1,20150402,914
889,동작대로,2016,13.6,19.4,37,8.4,20160804,-16.4,20160124,1.1,12.7,241.9,20160504,977
889,동작대로,2017,12.8,18.6,36.6,7.5,20170725,-14,20170124,1.1,11.6,239.1,20170414,1100
889,동작대로,2018,12.8,18.8,39.9,7.6,20180801,-17,20180126,1.1,14.3,253.1,20180828,1247.5
889,동작대로,2019,13.3,19.4,37.9,8,20190806,-11.6,20190109,1,13.1,205.3,20190907,955
889,동작대로,2020,13.2,19.1,36.2,8.2,20200825,-12.3,20200206,1.1,12.5,253.1,20200319,1581.5
425,동작구,2015,12.8,17.8,35,8.5,20150807,-12.5,20150209,1.3,14.3,312.2,20150309,1081.5
425,동작구,2016,12.9,17.7,34.7,8.6,20160805,-19.5,20160124,1.3,17.2,326.3,20160504,1208
425,동작구,2017,12.4,17.2,34.7,7.9,20170805,-14.5,20170124,1.4,14.1,137.8,20170414,1264.5
425,동작구,2018,12.3,17.1,38.8,7.8,20180801,-23.5,20180126,1.3,16.9,157.5,20180410,1400.5
425,동작구,2019,13,18,35.4,8.4,20190806,-12.4,20191206,1.1,20.1,180,20190907,1058.5
425,동작구,2020,13.1,18.1,35,8.7,20200622,-14.2,20200206,1.1,15.4,348.8,20200903,1820.5
