날짜,PM10
20080101,38.208333333333336
20080102,36.916666666666664
20080103,58.625
20080104,94.83333333333333
20080105,64.375
20080106,119.66666666666667
20080107,195.375
20080108,124.45833333333333
20080109,62.291666666666664
20080110,55.458333333333336
20080111,35.833333333333336
20080112,34.833333333333336
20080113,54.541666666666664
20080114,36.583333333333336
20080115,53.666666666666664
20080116,44.041666666666664
20080117,54.583333333333336
20080118,52.875
20080119,68.95833333333333
20080120,50.083333333333336
20080121,13.478260869565217
20080122,20.083333333333332
20080123,41.083333333333336
20080124,70.75
20080125,73.0909090909091
20080126,70.41666666666667
20080127,51.541666666666664
20080128,60.416666666666664
20080129,74.875
20080130,54.541666666666664
20080131,46.375
